country	country_code	year_week	new_cases	variant	percent_variant	variant_name	number_cases_ratio	population
Austria	AT	2021-20	4156	B.1.617.2	1.6	delta	66.496	8901064.0
Austria	AT	2021-21	3160	B.1.1.529	0.0	omicron	0.0	8901064.0
Austria	AT	2021-21	3160	B.1.617.2	4.5	delta	142.2	8901064.0
Austria	AT	2021-22	2424	B.1.1.529	0.0	omicron	0.0	8901064.0
Austria	AT	2021-22	2424	B.1.617.2	30.8	delta	746.592	8901064.0
Austria	AT	2021-23	1685	B.1.1.529	0.0	omicron	0.0	8901064.0
Austria	AT	2021-23	1685	B.1.617.2	47.6	delta	802.0600000000001	8901064.0
Austria	AT	2021-24	1002	B.1.1.529	0.0	omicron	0.0	8901064.0
Austria	AT	2021-24	1002	B.1.617.2	52.7	delta	528.054	8901064.0
Austria	AT	2021-25	679	B.1.1.529	0.0	omicron	0.0	8901064.0
Austria	AT	2021-25	679	B.1.617.2	76.4	delta	518.756	8901064.0
Austria	AT	2021-26	633	B.1.1.529	0.0	omicron	0.0	8901064.0
Austria	AT	2021-26	633	B.1.617.2	80.1	delta	507.03299999999996	8901064.0
Austria	AT	2021-27	1093	B.1.1.529	0.0	omicron	0.0	8901064.0
Austria	AT	2021-27	1093	B.1.617.2	95.0	delta	1038.35	8901064.0
Austria	AT	2021-28	2192	B.1.1.529	0.0	omicron	0.0	8901064.0
Austria	AT	2021-28	2192	B.1.617.2	98.6	delta	2161.312	8901064.0
Austria	AT	2021-29	2532	B.1.1.529	0.0	omicron	0.0	8901064.0
Austria	AT	2021-29	2532	B.1.617.2	99.1	delta	2509.212	8901064.0
Austria	AT	2021-30	3251	B.1.1.529	0.0	omicron	0.0	8901064.0
Austria	AT	2021-30	3251	B.1.617.2	98.3	delta	3195.733	8901064.0
Austria	AT	2021-31	3667	B.1.1.529	0.0	omicron	0.0	8901064.0
Austria	AT	2021-31	3667	B.1.617.2	99.6	delta	3652.332	8901064.0
Austria	AT	2021-32	5900	B.1.1.529	0.0	omicron	0.0	8901064.0
Austria	AT	2021-32	5900	B.1.617.2	99.3	delta	5858.7	8901064.0
Austria	AT	2021-33	8063	B.1.1.529	0.0	omicron	0.0	8901064.0
Austria	AT	2021-33	8063	B.1.617.2	100.0	delta	8063.0	8901064.0
Austria	AT	2021-34	9436	B.1.1.529	0.0	omicron	0.0	8901064.0
Austria	AT	2021-34	9436	B.1.617.2	99.7	delta	9407.692	8901064.0
Austria	AT	2021-35	11306	B.1.1.529	0.0	omicron	0.0	8901064.0
Austria	AT	2021-35	11306	B.1.617.2	97.9	delta	11068.574	8901064.0
Austria	AT	2021-36	14059	B.1.1.529	0.0	omicron	0.0	8901064.0
Austria	AT	2021-36	14059	B.1.617.2	100.0	delta	14059.0	8901064.0
Austria	AT	2021-37	13749	B.1.1.529	0.0	omicron	0.0	8901064.0
Austria	AT	2021-37	13749	B.1.617.2	99.6	delta	13694.004	8901064.0
Austria	AT	2021-38	11762	B.1.1.529	0.0	omicron	0.0	8901064.0
Austria	AT	2021-38	11762	B.1.617.2	98.1	delta	11538.521999999999	8901064.0
Austria	AT	2021-39	12594	B.1.1.529	0.0	omicron	0.0	8901064.0
Austria	AT	2021-39	12594	B.1.617.2	98.9	delta	12455.466000000002	8901064.0
Austria	AT	2021-40	12784	B.1.1.529	0.0	omicron	0.0	8901064.0
